PropertyName,PropertySubName,NearbyLocations,LocationAdvantages,Link,PriceDetails,TopFacilities
Runwal Greens,"1, 2, 3 BHK Apartment in Mulund West, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '1.8 km', 'Eastern Express Highway': '800 m', 'Mulund Lake': '2.8 km', 'Thane': '4.2 km', 'Mumbai Airport': '14 km'}",https://www.99acres.com/runwal-greens-mulund,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '620 sq.ft.', 'price-range': '₹ 2.1 - 2.5 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '920 sq.ft.', 'price-range': '₹ 3.2 - 3.8 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,320 sq.ft.', 'price-range': '₹ 4.5 - 5.2 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Brigade Group - Woods,"2, 3 BHK Apartment in Bhandup West, Mumbai","['Bhandup Pumping Station', 'Eastern Express Highway', 'Mumbai Zoo', 'Nehru Nagar', 'Mulund Station']","{'Eastern Express Highway': '1.8 km', 'Bhandup Station': '2.8 km', 'Mulund': '3.8 km', 'Mumbai Airport': '11 km', 'Thane': '5.8 km'}",https://www.99acres.com/brigade-woods-bhandup,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,050 sq.ft.', 'price-range': '₹ 3.8 - 4.4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,450 sq.ft.', 'price-range': '₹ 5.2 - 6 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha New Cuffe Parade,"2, 3, 4 BHK Apartment in Wadala, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1 km', 'Eastern Freeway': '500 m', 'Sion': '3 km', 'Mumbai Port': '4 km', 'Metro Station': '800 m'}",https://www.99acres.com/lodha-new-cuffe-parade,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,300 sq.ft.', 'price-range': '₹ 7 - 8 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,800 sq.ft.', 'price-range': '₹ 9.5 - 11 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,400 sq.ft.', 'price-range': '₹ 13 - 15 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
Godrej Summit,"3, 4 BHK Apartment in Vikhroli East, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.8 km', 'Eastern Express Highway': '600 m', 'Powai Lake': '3.8 km', 'Mumbai Airport': '8.2 km', 'Kanjurmarg Station': '2.2 km'}",https://www.99acres.com/godrej-summit-vikhroli,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,850 sq.ft.', 'price-range': '₹ 7.5 - 8.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,450 sq.ft.', 'price-range': '₹ 10 - 11.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Hiranandani Palace,"3, 4, 5 BHK Apartment in Thane East, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Cadbury Junction', 'Eastern Express Highway']","{'Upvan Lake': '2.2 km', 'Korum Mall': '3.2 km', 'Thane Station': '5.2 km', 'Eastern Express Highway': '4.2 km', 'Mumbai-Pune Expressway': '6.2 km'}",https://www.99acres.com/hiranandani-palace-thane,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,950 sq.ft.', 'price-range': '₹ 5 - 5.8 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,550 sq.ft.', 'price-range': '₹ 6.8 - 7.8 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,250 sq.ft.', 'price-range': '₹ 8.8 - 10.2 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gymnasium', 'Club House', 'Basketball Court', 'Jogging Track', 'Skating Rink', 'Party Lawn']"
Kalpataru Grandeur,"2, 3 BHK Apartment in Mulund West, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2.1 km', 'Eastern Express Highway': '1.1 km', 'Mulund Lake': '3.1 km', 'Thane': '4.1 km', 'Mumbai Airport': '15 km'}",https://www.99acres.com/kalpataru-grandeur-mulund,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,050 sq.ft.', 'price-range': '₹ 3.5 - 4.1 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,450 sq.ft.', 'price-range': '₹ 4.8 - 5.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Piramal Aranya Phase 2,"3, 4 BHK Apartment in Byculla West, Mumbai","['Byculla Zoo', 'Mumbai Central', 'Wadia Hospital', 'Phoenix Marketcity', 'Mohammed Ali Road']","{'Byculla Zoo': '900 m', 'Mumbai Central': '1.8 km', 'Phoenix Marketcity': '2.8 km', 'CSMT Station': '3.8 km', 'Eastern Freeway': '1.8 km'}",https://www.99acres.com/piramal-aranya-phase2-byculla,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,750 sq.ft.', 'price-range': '₹ 11 - 12.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,350 sq.ft.', 'price-range': '₹ 15 - 17 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Landscaped Gardens', 'Yoga Pavilion', 'Children's Play Area', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting']"
Wadhwa Group - Serenity,"Studio, 1, 2 BHK Apartment in Vikhroli West, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.6 km', 'Eastern Express Highway': '550 m', 'Powai Lake': '3.6 km', 'Mumbai Airport': '7.8 km', 'Kanjurmarg Station': '1.8 km'}",https://www.99acres.com/wadhwa-serenity-vikhroli,"{'Studio': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '490 sq.ft.', 'price-range': '₹ 2.5 - 2.9 Cr'}, '1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '690 sq.ft.', 'price-range': '₹ 3.3 - 3.8 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '990 sq.ft.', 'price-range': '₹ 4.6 - 5.3 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking', 'Landscaped Garden']"
Rustomjee Paramount,"2, 3 BHK Apartment in Andheri East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'WEH', 'Chakala', 'Andheri Station']","{'Mumbai Airport': '1.7 km', 'BKC': '4.1 km', 'Andheri Station': '2.7 km', 'Western Express Highway': '850 m', 'Metro Station': '650 m'}",https://www.99acres.com/rustomjee-paramount-andheri,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,180 sq.ft.', 'price-range': '₹ 5.3 - 6.1 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,580 sq.ft.', 'price-range': '₹ 7.2 - 8.2 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Indoor Games', 'Jogging Track', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Fiorenza,"4, 5 BHK Apartment in Wadala East, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1.1 km', 'Eastern Freeway': '550 m', 'Sion': '3.1 km', 'Mumbai Port': '4.1 km', 'Metro Station': '850 m'}",https://www.99acres.com/lodha-fiorenza-wadala,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,750 sq.ft.', 'price-range': '₹ 14 - 16 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,550 sq.ft.', 'price-range': '₹ 18 - 21 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
Runwal Harmony,"1, 2, 3 BHK Apartment in Mulund East, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2.3 km', 'Eastern Express Highway': '1.3 km', 'Mulund Lake': '3.3 km', 'Thane': '4.3 km', 'Mumbai Airport': '15 km'}",https://www.99acres.com/runwal-harmony-mulund,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '640 sq.ft.', 'price-range': '₹ 2.2 - 2.6 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '940 sq.ft.', 'price-range': '₹ 3.3 - 3.9 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,340 sq.ft.', 'price-range': '₹ 4.6 - 5.4 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Brigade Group - Valley,"2, 3 BHK Apartment in Bhandup East, Mumbai","['Bhandup Pumping Station', 'Eastern Express Highway', 'Mumbai Zoo', 'Nehru Nagar', 'Mulund Station']","{'Eastern Express Highway': '2.3 km', 'Bhandup Station': '3.3 km', 'Mulund': '4.3 km', 'Mumbai Airport': '12 km', 'Thane': '6.3 km'}",https://www.99acres.com/brigade-valley-bhandup,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,100 sq.ft.', 'price-range': '₹ 4 - 4.6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,500 sq.ft.', 'price-range': '₹ 5.5 - 6.3 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Amara,"2, 3 BHK Apartment in Dombivli East, Mumbai","['Dombivli Station', 'Eastern Express Highway', 'Kalyan', 'Thane', 'Mumbai-Pune Expressway']","{'Dombivli Station': '2.8 km', 'Eastern Express Highway': '3.8 km', 'Kalyan': '4.8 km', 'Thane': '7.8 km', 'Mumbai-Pune Expressway': '5.8 km'}",https://www.99acres.com/lodha-amara-dombivli,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,000 sq.ft.', 'price-range': '₹ 2 - 2.4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,400 sq.ft.', 'price-range': '₹ 2.8 - 3.3 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Godrej Oasis Vikhroli,"3, 4 BHK Apartment in Vikhroli West, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.7 km', 'Eastern Express Highway': '580 m', 'Powai Lake': '3.7 km', 'Mumbai Airport': '7.9 km', 'Kanjurmarg Station': '1.9 km'}",https://www.99acres.com/godrej-oasis-vikhroli,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,880 sq.ft.', 'price-range': '₹ 8 - 9 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,480 sq.ft.', 'price-range': '₹ 10.5 - 12 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Hiranandani Heritage,"3, 4, 5 BHK Apartment in Thane West, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Cadbury Junction', 'Eastern Express Highway']","{'Upvan Lake': '1.6 km', 'Korum Mall': '2.6 km', 'Thane Station': '4.6 km', 'Eastern Express Highway': '3.6 km', 'Mumbai-Pune Expressway': '5.6 km'}",https://www.99acres.com/hiranandani-heritage-thane,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,000 sq.ft.', 'price-range': '₹ 5.2 - 6 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,600 sq.ft.', 'price-range': '₹ 7 - 8 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,300 sq.ft.', 'price-range': '₹ 9 - 10.5 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gymnasium', 'Club House', 'Basketball Court', 'Jogging Track', 'Skating Rink', 'Party Lawn']"
Kalpataru Elegance,"2, 3 BHK Apartment in Mulund West, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2 km', 'Eastern Express Highway': '1 km', 'Mulund Lake': '3 km', 'Thane': '4 km', 'Mumbai Airport': '14 km'}",https://www.99acres.com/kalpataru-elegance-mulund,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,080 sq.ft.', 'price-range': '₹ 3.8 - 4.4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,480 sq.ft.', 'price-range': '₹ 5.2 - 6 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Piramal Aranya Phase 3,"3, 4 BHK Apartment in Byculla East, Mumbai","['Byculla Zoo', 'Mumbai Central', 'Wadia Hospital', 'Phoenix Marketcity', 'Mohammed Ali Road']","{'Byculla Zoo': '850 m', 'Mumbai Central': '1.7 km', 'Phoenix Marketcity': '2.7 km', 'CSMT Station': '3.7 km', 'Eastern Freeway': '1.7 km'}",https://www.99acres.com/piramal-aranya-phase3-byculla,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,780 sq.ft.', 'price-range': '₹ 12 - 13.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,380 sq.ft.', 'price-range': '₹ 16 - 18 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Landscaped Gardens', 'Yoga Pavilion', 'Children's Play Area', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting']"
Wadhwa Group - Blissville,"Studio, 1, 2 BHK Apartment in Vikhroli East, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.9 km', 'Eastern Express Highway': '650 m', 'Powai Lake': '3.9 km', 'Mumbai Airport': '8.3 km', 'Kanjurmarg Station': '2.3 km'}",https://www.99acres.com/wadhwa-blissville-vikhroli,"{'Studio': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '510 sq.ft.', 'price-range': '₹ 2.7 - 3.1 Cr'}, '1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '710 sq.ft.', 'price-range': '₹ 3.5 - 4 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,010 sq.ft.', 'price-range': '₹ 4.8 - 5.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking', 'Landscaped Garden']"
Rustomjee Majestic,"2, 3 BHK Apartment in Andheri East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'WEH', 'Chakala', 'Andheri Station']","{'Mumbai Airport': '1.6 km', 'BKC': '4 km', 'Andheri Station': '2.6 km', 'Western Express Highway': '800 m', 'Metro Station': '600 m'}",https://www.99acres.com/rustomjee-majestic-andheri,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,200 sq.ft.', 'price-range': '₹ 5.5 - 6.3 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,600 sq.ft.', 'price-range': '₹ 7.5 - 8.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Indoor Games', 'Jogging Track', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Belmondo,"4, 5 BHK Apartment in Wadala West, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1.3 km', 'Eastern Freeway': '700 m', 'Sion': '3.3 km', 'Mumbai Port': '4.3 km', 'Metro Station': '1 km'}",https://www.99acres.com/lodha-belmondo-wadala,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,850 sq.ft.', 'price-range': '₹ 15 - 17 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,650 sq.ft.', 'price-range': '₹ 19 - 22 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
Runwal Symphony,"1, 2, 3 BHK Apartment in Mulund West, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '1.9 km', 'Eastern Express Highway': '900 m', 'Mulund Lake': '2.9 km', 'Thane': '3.9 km', 'Mumbai Airport': '13 km'}",https://www.99acres.com/runwal-symphony-mulund,"{'1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '660 sq.ft.', 'price-range': '₹ 2.3 - 2.7 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '960 sq.ft.', 'price-range': '₹ 3.4 - 4 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,360 sq.ft.', 'price-range': '₹ 4.7 - 5.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Brigade Group - Horizon,"2, 3 BHK Apartment in Bhandup West, Mumbai","['Bhandup Pumping Station', 'Eastern Express Highway', 'Mumbai Zoo', 'Nehru Nagar', 'Mulund Station']","{'Eastern Express Highway': '2.1 km', 'Bhandup Station': '3.1 km', 'Mulund': '4.1 km', 'Mumbai Airport': '11 km', 'Thane': '5.1 km'}",https://www.99acres.com/brigade-horizon-bhandup,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,150 sq.ft.', 'price-range': '₹ 4.2 - 4.8 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,550 sq.ft.', 'price-range': '₹ 5.8 - 6.6 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Casa Bella,"2, 3 BHK Apartment in Dombivli West, Mumbai","['Dombivli Station', 'Eastern Express Highway', 'Kalyan', 'Thane', 'Mumbai-Pune Expressway']","{'Dombivli Station': '2.9 km', 'Eastern Express Highway': '3.9 km', 'Kalyan': '4.9 km', 'Thane': '7.9 km', 'Mumbai-Pune Expressway': '5.9 km'}",https://www.99acres.com/lodha-casa-bella-dombivli,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,050 sq.ft.', 'price-range': '₹ 2.2 - 2.6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,450 sq.ft.', 'price-range': '₹ 3 - 3.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Godrej Infinity,"3, 4 BHK Apartment in Vikhroli East, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.5 km', 'Eastern Express Highway': '520 m', 'Powai Lake': '3.5 km', 'Mumbai Airport': '7.5 km', 'Kanjurmarg Station': '1.5 km'}",https://www.99acres.com/godrej-infinity-vikhroli,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,920 sq.ft.', 'price-range': '₹ 8.5 - 9.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,520 sq.ft.', 'price-range': '₹ 11 - 12.5 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Tennis Court', 'Squash Court', 'Indoor Games', 'Jogging Track', 'Amphitheatre', 'Party Hall']"
Hiranandani Fortune,"3, 4, 5 BHK Apartment in Thane East, Mumbai","['Upvan Lake', 'Talao Pali', 'Korum Mall', 'Cadbury Junction', 'Eastern Express Highway']","{'Upvan Lake': '1.7 km', 'Korum Mall': '2.7 km', 'Thane Station': '4.7 km', 'Eastern Express Highway': '3.7 km', 'Mumbai-Pune Expressway': '5.7 km'}",https://www.99acres.com/hiranandani-fortune-thane,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,050 sq.ft.', 'price-range': '₹ 5.5 - 6.3 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,650 sq.ft.', 'price-range': '₹ 7.3 - 8.3 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,350 sq.ft.', 'price-range': '₹ 9.3 - 10.8 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gymnasium', 'Club House', 'Basketball Court', 'Jogging Track', 'Skating Rink', 'Party Lawn']"
Kalpataru Splendor,"2, 3 BHK Apartment in Mulund East, Mumbai","['Mulund Station', 'Eastern Express Highway', 'Mulund Lake', 'D Mart', 'Mumbai-Pune Expressway']","{'Mulund Station': '2.4 km', 'Eastern Express Highway': '1.4 km', 'Mulund Lake': '3.4 km', 'Thane': '4.4 km', 'Mumbai Airport': '15 km'}",https://www.99acres.com/kalpataru-splendor-mulund,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,120 sq.ft.', 'price-range': '₹ 4 - 4.6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,520 sq.ft.', 'price-range': '₹ 5.5 - 6.3 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Children's Play Area', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking']"
Piramal Aranya Phase 4,"3, 4 BHK Apartment in Byculla West, Mumbai","['Byculla Zoo', 'Mumbai Central', 'Wadia Hospital', 'Phoenix Marketcity', 'Mohammed Ali Road']","{'Byculla Zoo': '920 m', 'Mumbai Central': '1.9 km', 'Phoenix Marketcity': '2.9 km', 'CSMT Station': '3.9 km', 'Eastern Freeway': '1.9 km'}",https://www.99acres.com/piramal-aranya-phase4-byculla,"{'3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,820 sq.ft.', 'price-range': '₹ 13 - 14.5 Cr'}, '4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,420 sq.ft.', 'price-range': '₹ 17 - 19 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Landscaped Gardens', 'Yoga Pavilion', 'Children's Play Area', 'Party Lawn', '24x7 Security', 'Rain Water Harvesting']"
Wadhwa Group - Paradise,"Studio, 1, 2 BHK Apartment in Vikhroli West, Mumbai","['Godrej Industries', 'IIT Bombay', 'Hiranandani Hospital', 'Kanjurmarg Station', 'Eastern Express Highway']","{'IIT Bombay': '2.4 km', 'Eastern Express Highway': '480 m', 'Powai Lake': '3.4 km', 'Mumbai Airport': '7.4 km', 'Kanjurmarg Station': '1.4 km'}",https://www.99acres.com/wadhwa-paradise-vikhroli,"{'Studio': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '530 sq.ft.', 'price-range': '₹ 2.9 - 3.3 Cr'}, '1 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '730 sq.ft.', 'price-range': '₹ 3.7 - 4.2 Cr'}, '2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,030 sq.ft.', 'price-range': '₹ 5 - 5.7 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Jogging Track', 'Indoor Games', 'Party Hall', '24x7 Security', 'Car Parking', 'Landscaped Garden']"
Rustomjee Elegante,"2, 3 BHK Apartment in Andheri East, Mumbai","['Mumbai Airport', 'Bandra Kurla Complex', 'WEH', 'Chakala', 'Andheri Station']","{'Mumbai Airport': '1.5 km', 'BKC': '3.9 km', 'Andheri Station': '2.5 km', 'Western Express Highway': '750 m', 'Metro Station': '550 m'}",https://www.99acres.com/rustomjee-elegante-andheri,"{'2 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,220 sq.ft.', 'price-range': '₹ 5.8 - 6.6 Cr'}, '3 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '1,620 sq.ft.', 'price-range': '₹ 7.8 - 8.8 Cr'}}","['Swimming Pool', 'Gym', 'Club House', 'Indoor Games', 'Jogging Track', 'Children's Play Area', '24x7 Security', 'Rain Water Harvesting', 'Car Parking']"
Lodha Casa Grande,"4, 5 BHK Apartment in Wadala East, Mumbai","['Wadala TT', 'Five Gardens', 'Sion Fort', 'Shivaji Park', 'Eastern Freeway']","{'Wadala TT': '1.4 km', 'Eastern Freeway': '800 m', 'Sion': '3.4 km', 'Mumbai Port': '4.4 km', 'Metro Station': '1.1 km'}",https://www.99acres.com/lodha-casa-grande-wadala,"{'4 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '2,950 sq.ft.', 'price-range': '₹ 16 - 18 Cr'}, '5 BHK': {'building_type': 'Apartment', 'area_type': 'Carpet Area', 'area': '3,750 sq.ft.', 'price-range': '₹ 20 - 23 Cr'}}","['Swimming Pool', 'Tennis Court', 'Squash Court', 'Gym', 'Club House', 'Yoga Studio', 'Children's Play Area', 'Party Lawn', '24x7 Security']"
